Timestamp,AirQualityStationEoICode,AveragingTime,PM10
2014-07-03 23:00:00,DESN077,day,24.26
2014-07-04 23:00:00,DESN077,day,27.56
2014-07-05 23:00:00,DESN077,day,22.58
2014-07-06 23:00:00,DESN077,day,13.74
2014-07-07 23:00:00,DESN077,day,19.13
2014-07-08 23:00:00,DESN077,day,25.2
2014-07-10 23:00:00,DESN077,day,22.46
2014-07-11 23:00:00,DESN077,day,28.03
2014-07-12 23:00:00,DESN077,day,18.94
2014-07-13 23:00:00,DESN077,day,18.37
2014-07-14 23:00:00,DESN077,day,21.15
2014-07-15 23:00:00,DESN077,day,22.28
2014-07-16 23:00:00,DESN077,day,27.27
2014-07-17 23:00:00,DESN077,day,28.41
2014-07-18 23:00:00,DESN077,day,33.41
2014-07-19 23:00:00,DESN077,day,34.75
2014-07-20 23:00:00,DESN077,day,29.37
2014-07-21 23:00:00,DESN077,day,42.62
2014-07-22 23:00:00,DESN077,day,27.24
2014-07-23 23:00:00,DESN077,day,26.85
2014-07-24 23:00:00,DESN077,day,21.22
2014-07-25 23:00:00,DESN077,day,22.93
2014-07-26 23:00:00,DESN077,day,25.39
2014-07-27 23:00:00,DESN077,day,24.44
2014-07-28 23:00:00,DESN077,day,27.56
2014-07-29 23:00:00,DESN077,day,27.24
2014-07-30 23:00:00,DESN077,day,26.95
2014-07-31 23:00:00,DESN077,day,25.46
2014-08-01 23:00:00,DESN077,day,25.75
2014-08-02 23:00:00,DESN077,day,23.64
2014-08-03 23:00:00,DESN077,day,20.0
